Timestamp,Symbole,Force_Frappe,Nb_Pieces,Statut
14:52:33,BTC,5962,329,Actif
14:52:33,ETH,5042,283,Actif
14:52:33,USDT,6402,351,Actif
14:52:33,BNB,4420,251,Actif
14:52:33,XRP,4460,253,Actif
14:52:33,USDC,4782,270,Actif
14:52:33,SOL,4542,258,Actif
14:52:33,TRX,2740,230,Actif
14:52:33,FIGR_HELOC,1680,216,Actif
14:52:33,DOGE,1560,216,Actif
14:52:33,USDS,1280,211,Actif
14:52:33,WBT,1280,211,Actif
14:52:33,ADA,1118,208,Actif
14:52:33,HYPE,1120,209,Actif
14:52:33,BCH,1120,209,Actif
14:52:33,LEO,1040,208,Actif
14:52:33,LINK,880,206,Actif
14:52:33,XMR,880,206,Actif
14:52:33,USDE,800,205,Actif
14:52:33,XLM,800,205,Actif
14:52:33,CC,800,205,Actif
14:52:33,USD1,758,205,Actif
14:52:33,DAI,720,204,Actif
14:52:33,LTC,720,204,Actif
14:52:33,RAIN,720,204,Actif
14:52:33,AVAX,640,203,Actif
14:52:33,HBAR,640,203,Actif
14:52:33,PYUSD,640,203,Actif
14:52:33,ZEC,640,203,Actif
14:52:33,SUI,640,203,Actif
14:52:33,M,640,203,Actif
14:52:33,SHIB,640,203,Actif
14:52:33,TAO,660,204,Actif
14:52:33,TON,640,203,Actif
14:52:33,CRO,640,203,Actif
14:52:33,WLFI,560,202,Actif
14:52:33,USYC,560,202,Actif
14:52:33,XAUT,580,203,Actif
14:52:33,MNT,560,202,Actif
14:52:33,PAXG,560,202,Actif
14:52:33,UNI,558,201,Actif
14:52:33,DOT,558,201,Actif
14:52:33,BUIDL,560,202,Actif
14:52:33,PI,478,200,Actif
14:52:33,USDG,480,201,Actif
14:52:33,OKB,480,201,Actif
14:52:33,USDF,480,201,Actif
14:52:33,SKY,480,201,Actif
14:52:33,ASTER,480,201,Actif
14:52:33,AAVE,480,201,Actif
14:53:33,USDT,6404,352,Actif
14:53:33,BTC,5964,330,Actif
14:53:33,ETH,5044,284,Actif
14:53:33,USDC,4784,271,Actif
14:53:33,SOL,4544,259,Actif
14:53:33,XRP,4460,253,Actif
14:53:33,BNB,4420,251,Actif
14:53:33,TRX,2738,229,Actif
14:53:33,FIGR_HELOC,1680,216,Actif
14:53:33,DOGE,1560,216,Actif
14:53:33,USDS,1280,211,Actif
14:53:33,WBT,1280,211,Actif
14:53:33,HYPE,1120,209,Actif
14:53:33,BCH,1118,208,Actif
14:53:33,ADA,1118,208,Actif
14:53:33,LEO,1040,208,Actif
14:53:33,LINK,880,206,Actif
14:53:33,XMR,880,206,Actif
14:53:33,USDE,800,205,Actif
14:53:33,XLM,798,204,Actif
14:53:33,CC,800,205,Actif
14:53:33,USD1,758,205,Actif
14:53:33,DAI,720,204,Actif
14:53:33,LTC,720,204,Actif
14:53:33,RAIN,720,204,Actif
14:53:33,TAO,660,204,Actif
14:53:33,AVAX,640,203,Actif
14:53:33,HBAR,640,203,Actif
14:53:33,PYUSD,640,203,Actif
14:53:33,ZEC,640,203,Actif
14:53:33,SUI,640,203,Actif
14:53:33,M,638,202,Actif
14:53:33,SHIB,638,202,Actif
14:53:33,TON,640,203,Actif
14:53:33,CRO,640,203,Actif
14:53:33,XAUT,580,203,Actif
14:53:33,WLFI,560,202,Actif
14:53:33,USYC,560,202,Actif
14:53:33,MNT,560,202,Actif
14:53:33,PAXG,560,202,Actif
14:53:33,BUIDL,560,202,Actif
14:53:33,UNI,558,201,Actif
