Tour,FED_Taux,Pions_Libres,BTC_Force,BTC_Rois,BTC_Pions,SOL_Force,SOL_Cavaliers,SOL_Pions,PEPE_Force,PEPE_Pions
10,0.73,1201,76,0,3,28,0,4,7,1
20,1.17,1165,170,0,10,66,1,13,19,7
30,1.11,1190,94,0,7,32,0,6,11,3
40,2.69,1198,110,0,5,24,0,2,7,1
50,0.0,1204,58,0,4,26,0,3,5,0
60,-4.37,1196,62,0,6,30,0,5,9,2
70,-0.05,1160,82,0,16,68,1,14,21,8
80,0.9,1210,56,0,3,22,0,1,5,0
90,-2.7,1199,78,0,4,28,0,4,9,2
100,-3.4,1208,132,1,1,20,0,0,9,2
110,-1.07,1178,228,1,9,34,0,7,15,5
120,-1.11,1184,280,1,5,38,0,9,9,2
130,-1.04,1202,218,1,4,26,0,3,5,0
140,-4.66,1203,290,1,0,24,0,2,9,2
150,0.32,1169,328,1,9,38,0,9,25,10
160,-2.3,1198,274,1,2,28,0,4,5,0
170,1.61,1203,216,1,3,20,0,0,5,0
180,-4.56,1200,220,1,5,22,0,1,7,1
190,3.96,1209,210,1,0,20,0,0,5,0
200,-2.6,1194,220,1,5,28,0,4,9,2
210,1.74,1185,244,1,7,54,1,7,7,1
220,1.36,1192,236,1,3,28,0,4,13,4
230,2.41,1182,246,1,8,30,0,5,11,3
240,-2.41,1205,272,1,1,20,0,0,5,0
250,4.44,1210,210,1,0,20,0,0,5,0
260,3.41,1204,292,2,1,22,0,1,5,0
270,0.32,1176,330,2,10,34,0,7,9,2
280,-2.38,1141,350,2,20,82,0,16,19,7
290,-0.53,1204,214,1,2,22,0,1,5,0
300,2.31,1192,240,1,5,24,0,2,11,3
310,2.67,1200,216,1,3,24,0,2,5,0
320,3.25,1209,210,1,0,20,0,0,5,0
330,-2.68,1200,214,1,2,24,0,2,9,2
340,2.93,1204,292,2,1,20,0,0,5,0
350,-2.94,1173,408,3,9,38,0,9,9,2
360,2.89,1191,398,3,4,30,0,5,9,2
370,-1.77,1198,484,3,2,24,0,2,5,0
380,-2.45,1198,506,3,3,24,0,2,7,1
390,-3.99,1196,468,3,4,26,0,3,9,2
400,2.35,1202,464,3,2,22,0,1,5,0
410,1.13,1206,410,3,0,24,0,2,5,0
420,-3.04,1191,466,3,3,30,0,5,11,3
430,3.37,1209,352,2,1,20,0,0,5,0
440,-3.98,1177,408,2,9,34,0,7,17,6
450,-0.24,1145,482,2,16,50,0,15,25,10
460,-3.62,1199,376,2,3,46,1,3,7,1
470,-1.44,1200,378,2,4,22,0,1,5,0
480,-2.75,1177,424,2,7,36,0,8,21,8
490,-4.44,1202,414,2,2,22,0,1,9,2
500,-1.57,1194,330,2,5,26,0,3,11,3
510,-2.93,1161,424,2,12,78,2,9,21,8
520,-4.52,1192,336,2,3,80,1,5,13,4
530,0.7,1205,372,2,1,22,0,1,5,0
540,4.39,1207,390,2,0,20,0,0,7,1
550,-0.22,1188,414,2,7,30,0,5,7,1
560,-2.88,1197,398,2,4,24,0,2,9,2
570,4.76,1211,290,2,0,20,0,0,5,0
580,-3.5,1205,292,2,1,24,0,2,7,1
590,3.79,1211,290,2,0,20,0,0,5,0
600,2.51,1208,294,2,2,20,0,0,5,0
610,0.47,1186,306,2,8,30,0,5,13,4
620,-4.18,1203,294,2,2,22,0,1,7,1
630,-1.22,1170,410,2,10,34,0,7,21,8
640,-1.96,1205,370,2,0,22,0,1,5,0
650,-4.25,1198,358,2,4,26,0,3,7,1
660,-1.45,1205,294,2,2,22,0,1,5,0
670,2.3,1206,192,1,1,22,0,1,7,1
680,-4.6,1200,178,1,4,28,0,4,7,1
690,0.24,1196,258,1,4,28,0,4,5,0
700,0.32,1161,296,1,13,66,1,13,15,5
710,4.83,1195,270,1,5,26,0,3,9,2
720,2.63,1191,260,1,5,32,0,6,5,0
730,0.46,1206,270,1,0,24,0,2,5,0
740,1.68,1200,256,1,3,24,0,2,7,1
750,3.19,1210,212,1,1,20,0,0,5,0
760,-1.07,1176,308,1,9,56,1,8,15,5
770,4.95,1203,272,1,1,20,0,0,5,0
780,3.41,1211,210,1,0,20,0,0,5,0
790,-4.07,1200,216,1,3,24,0,2,9,2
800,4.88,1210,212,1,1,20,0,0,5,0
810,-0.33,1200,218,1,4,24,0,2,5,0
820,-4.36,1199,216,1,3,24,0,2,7,1
830,2.98,1196,218,1,4,26,0,3,7,1
840,-2.57,1198,314,1,2,24,0,2,9,2
850,-3.55,1203,252,1,1,24,0,2,5,0
860,2.51,1200,258,1,4,22,0,1,5,0
870,0.22,1195,318,1,4,24,0,2,7,1
880,0.47,1202,254,1,2,22,0,1,5,0
890,-0.01,1202,254,2,2,24,0,2,5,0
900,2.04,1195,296,2,3,26,0,3,9,2
910,-1.56,1184,364,2,7,30,0,5,5,0
920,2.09,1182,364,2,7,32,0,6,9,2
930,0.45,1147,402,2,16,52,0,16,19,7
940,0.81,1110,508,2,24,90,1,25,33,14
950,2.9,1168,484,2,12,36,0,8,11,3
960,-0.16,1190,396,2,3,26,0,3,9,2
970,2.69,1198,334,2,2,22,0,1,5,0
980,-2.5,1196,432,2,1,24,0,2,5,0
990,0.42,1179,424,2,7,34,0,7,13,4
1000,3.98,1205,332,2,1,20,0,0,5,0
1010,1.95,1181,366,2,8,32,0,6,9,2
1020,4.58,1206,350,2,0,20,0,0,5,0
1030,2.54,1167,370,2,10,40,0,10,23,9
1040,4.34,1205,350,2,0,20,0,0,5,0
1050,2.06,1202,354,2,2,20,0,0,5,0
1060,-3.37,1185,420,2,5,50,1,5,13,4
1070,-1.02,1148,572,2,11,98,1,14,27,11
1080,-1.45,1191,532,2,1,106,2,3,7,1
1090,-2.61,1195,396,2,3,66,0,3,7,1
1100,-4.4,1198,334,2,2,82,1,1,9,2
1110,-3.98,1196,394,2,2,64,0,2,9,2
1120,-3.52,1195,394,2,2,64,0,2,11,3
1130,4.47,1202,390,2,0,80,1,0,5,0
1140,-1.39,1186,360,2,5,90,1,5,7,1
1150,-1.45,1186,398,2,4,98,0,4,9,2
1160,3.97,1199,432,2,1,64,0,2,5,0
1170,1.95,1193,396,2,3,68,0,4,5,0
1180,-0.95,1183,424,2,7,88,1,4,9,2
1190,1.39,1193,408,2,4,68,0,4,5,0
1200,0.18,1183,418,2,4,148,2,4,9,2
1210,1.76,1201,332,2,1,120,1,0,7,1
1220,4.69,1203,330,2,0,140,0,0,5,0
1230,-4.44,1170,384,2,7,314,0,7,17,6
1240,4.22,1204,330,2,0,180,0,0,5,0
1250,-0.52,1173,396,2,8,246,1,8,7,1
1260,-1.03,1179,396,2,3,242,1,6,7,1
1270,-0.96,1185,460,2,5,190,0,5,9,2
1280,0.08,1195,334,2,2,234,1,2,5,0
1290,-0.24,1190,386,2,3,242,0,1,7,1
1300,3.14,1197,440,2,0,182,0,1,5,0
1310,4.68,1197,470,2,0,220,0,0,5,0
1320,-4.6,1192,338,2,4,224,0,2,7,1
1330,1.58,1193,364,2,2,214,0,2,5,0
1340,-4.3,1197,174,0,2,282,0,1,7,1
1350,0.03,1189,198,0,4,218,0,4,7,1
1360,4.29,1205,130,0,0,210,0,0,5,0
1370,-2.81,1173,224,0,7,288,0,9,9,2
1380,-0.68,1195,136,0,3,174,2,2,5,0
1390,4.37,1209,132,0,1,100,0,0,5,0
1400,-2.21,1188,144,0,7,152,0,6,5,0
1410,-1.66,1188,268,0,4,180,0,5,7,1
1420,-0.89,1184,230,0,5,242,0,6,7,1
1430,1.09,1198,192,0,1,176,0,3,7,1
1440,0.03,1201,192,0,1,144,0,2,5,0
1450,-2.94,1187,220,0,5,230,0,5,9,2
1460,2.37,1174,220,0,5,258,1,9,13,4
1470,4.06,1204,170,0,0,220,0,0,5,0
1480,-1.47,1190,196,0,3,228,0,4,5,0
1490,4.96,1202,54,0,2,260,0,0,7,1
1500,-4.53,1172,70,0,10,336,0,8,17,6
1510,2.57,1200,90,0,0,284,0,2,5,0
1520,4.94,1204,52,0,1,220,0,0,5,0
1530,-1.12,1201,54,0,2,184,0,2,5,0
1540,-0.69,1199,74,0,2,184,0,2,5,0
1550,-0.35,1192,104,0,2,206,1,3,9,2
1560,1.73,1202,52,0,1,184,0,2,5,0
1570,-2.7,1187,62,0,6,248,0,4,9,2
1580,3.49,1206,50,0,0,180,0,0,5,0
1590,-0.09,1172,70,0,10,302,2,6,13,4
1600,-2.99,1137,108,0,19,380,2,15,23,9
1610,-0.5,1168,72,0,11,298,0,9,9,2
1620,3.3,1204,50,0,0,220,0,0,5,0
1630,1.86,1181,60,0,5,270,2,5,13,4
1640,-0.89,1198,54,0,2,294,0,2,5,0
1650,1.06,1181,66,0,8,236,0,8,5,0
1660,1.09,1171,68,0,9,328,0,9,15,5
1670,-2.2,1139,134,0,17,366,1,18,19,7
1680,-3.58,1101,208,0,24,422,3,26,35,15
1690,3.61,1204,80,0,0,140,0,0,5,0
1700,-4.58,1197,224,1,2,182,0,1,9,2
1710,1.52,1186,172,1,6,190,0,5,7,1
1720,-0.79,1185,158,1,4,252,0,6,7,1
1730,4.1,1198,192,1,1,202,0,1,7,1
1740,-1.94,1165,212,1,11,222,0,11,13,4
1750,4.91,1204,130,1,0,140,0,0,5,0
1760,-0.1,1194,136,1,3,194,0,2,5,0
1770,-4.64,1197,132,1,1,270,0,0,7,1
1780,-0.13,1194,136,1,3,244,0,2,5,0
1790,4.5,1201,132,1,1,240,0,0,5,0
1800,-3.45,1174,192,1,6,284,0,7,13,4
1810,-3.95,1199,132,1,1,242,0,1,7,1
1820,-3.11,1188,178,1,4,296,1,3,5,0
1830,0.24,1192,194,1,2,186,0,3,7,1
1840,2.53,1199,132,1,1,242,0,1,5,0
1850,4.48,1196,136,1,3,246,0,3,5,0
1860,-0.12,1198,232,1,1,204,1,2,5,0
1870,-4.16,1198,172,1,1,262,1,1,7,1
1880,-0.72,1197,236,1,3,184,0,2,7,1
1890,2.28,1191,196,1,3,188,0,4,9,2
1900,-3.04,1188,196,1,3,238,1,4,11,3
1910,2.27,1194,178,1,4,188,0,4,5,0
1920,4.16,1200,194,1,2,240,0,0,7,1
1930,3.2,1206,130,1,0,142,0,1,5,0
1940,-2.18,1183,144,1,7,182,0,6,9,2
1950,4.83,1205,130,1,0,140,0,0,7,1
1960,-1.1,1195,138,1,4,148,0,4,5,0
1970,-1.54,1201,212,1,1,190,1,0,5,0
1980,2.71,1196,138,1,4,146,0,3,7,1
1990,-0.01,1195,174,1,2,186,0,3,5,0
2000,0.6,1189,190,1,5,294,0,2,7,1
2010,2.8,1152,274,1,12,418,1,9,21,8
2020,2.24,1176,242,1,6,410,2,5,9,2
2030,3.3,1202,90,0,0,302,0,1,5,0
2040,-0.03,1166,186,0,8,322,0,11,17,6
2050,-4.98,1181,198,0,4,310,0,5,7,1
2060,1.41,1170,270,0,5,406,0,8,9,2
2070,2.59,1191,116,0,3,344,0,2,5,0
2080,-0.43,1173,144,0,7,374,1,7,11,3
2090,0.79,1186,156,0,3,384,2,2,5,0
2100,0.71,1156,300,0,10,404,2,12,5,0
2110,-4.87,1180,210,0,5,368,1,4,9,2
2120,0.56,1167,150,0,10,454,3,7,13,4
2130,3.99,1198,132,0,1,300,0,0,5,0
2140,2.13,1193,154,0,2,322,1,1,9,2
2150,-3.28,1193,138,0,4,352,1,1,7,1
2160,-1.27,1196,194,0,2,332,0,1,5,0
2170,-1.45,1195,194,0,2,224,0,2,5,0
2180,-2.12,1196,132,0,1,282,0,1,5,0
2190,-2.86,1190,240,0,0,252,1,6,7,1
2200,1.35,1158,278,0,9,290,2,15,11,3
2210,1.86,1199,152,0,1,182,0,1,7,1
2220,-3.32,1177,86,0,8,198,0,9,7,1
2230,-2.22,1184,92,0,6,192,0,6,9,2
2240,-3.91,1147,148,0,14,316,1,13,23,9
2250,-3.23,1179,62,0,6,296,0,8,5,0
2260,4.9,1202,50,0,0,250,0,0,5,0
2270,-0.07,1199,52,0,1,264,0,2,5,0
